id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10634183,Room ideal for holiday & business,54896801,Patricia,,Providencia,-33.43544,-70.60558,Private room,15436,1,5,2016-04-13,0.08,1,87,0,
10634357,bedroom and bike!,4337059,Sebastian,,Providencia,-33.43168,-70.60919,Private room,18686,2,39,2019-08-31,0.57,1,239,0,
10644353,Cuarto privado Barrio San Joaquin PUC (2a),91543927,Eugenia,,Macul,-33.50352,-70.6133,Private room,24195,1,13,2018-08-31,0.25,3,299,0,
10644460,Habitación single baño privado en Santiago Centro,54962280,Gloria Paulina,,Santiago,-33.44945,-70.64751,Private room,16248,1,4,2018-04-17,0.07,1,365,0,
10660715,Casa-Taller Providencia: Lodging House,54771064,Casa-Taller,,Providencia,-33.44745,-70.62767,Private room,11000,1,8,2017-02-27,0.12,1,365,0,
10674535,Looking for a roommate in Providenc,33602851,Yael,,Providencia,-33.43395,-70.61461,Private room,30000,30,0,,,1,364,0,
10681695,Apto. Excelente Ubicación (Metro).,55156636,Eduardo,,Providencia,-33.41927,-70.60401,Entire home/apt,31684,3,78,2018-08-03,1.40,1,26,8,
10684423,"Cozy 1B/1B Apt,close to subway& great connectivity",38959530,Omar,,Estación Central,-33.45293,-70.69391,Entire home/apt,29034,30,8,2020-02-11,0.13,1,52,0,
10709842,Apartment in lush garden + parking - Vitacura,50026933,Felipe,,Vitacura,-33.39011,-70.55768,Entire home/apt,20143,5,27,2019-01-30,0.40,2,359,4,
10715290,NEXT TO THE PALACE OF GOVERNMENT,927912,Miguel,,Santiago,-33.44265,-70.65831,Entire home/apt,24372,25,38,2016-03-30,0.56,2,298,0,
10723848,Beautiful private room in Ñuñoa,49345231,Patricia,,Ñuñoa,-33.45332,-70.60095,Private room,23560,1,0,,,1,365,0,
10742969,Amplio dpto. en el centro de Stgo.,55408302,Eunice,,Santiago,-33.43459,-70.65759,Private room,17743,1,3,2016-10-08,0.04,1,365,0,
10753581,Modern + Lux 2BR Apartment Las Condes/Lo Barnechea,27373933,Bella,,Lo Barnechea,-33.36599,-70.50542,Entire home/apt,70971,5,50,2021-03-05,0.79,1,333,1,
10764175,Providencia Views Elegant Safe,17564347,Maria,,Providencia,-33.4275,-70.61712,Entire home/apt,69055,5,48,2021-05-28,0.71,1,18,5,
10767555,Casa Farellones Central. WIFI !,55679832,Camilo,,Lo Barnechea,-33.34845,-70.31059,Entire home/apt,207143,3,14,2018-07-24,0.21,1,363,2,
10768452,piezas para estudiantes en una casa,46872455,Veronica,,Providencia,-33.44199,-70.59447,Private room,13000,1,0,,,1,365,0,
10768842,"Best view, best place, new aparment",1171882,Fernando,,Las Condes,-33.40043,-70.5714,Entire home/apt,63945,2,192,2020-12-28,2.80,1,265,11,
10790226,Depto Centro Stgo(Barrio Lastarria),55831627,Fabiola,,Santiago,-33.43845,-70.63897,Entire home/apt,30000,3,2,2016-02-10,0.03,1,349,0,
10809480,Bella casa en El Arrayan. Min 1 año,55398247,Francisca,,Lo Barnechea,-33.33089,-70.47523,Entire home/apt,250000,365,0,,,1,364,0,
10811225,Spacious Apart in Santiago D-1014,51005781,Jorge,,Santiago,-33.44593,-70.63507,Private room,52422,2,10,2016-03-01,0.14,3,365,0,
10812628,Vista Cerro Manquehue,8691930,Alejandro,,Las Condes,-33.40572,-70.57765,Entire home/apt,89366,2,23,2018-12-04,0.34,4,314,1,
10813383,Apartment 2 beds Santiago,51005781,Jorge,,Santiago,-33.44816,-70.63582,Entire home/apt,48745,3,10,2016-03-13,0.14,3,364,0,
10820975,Furnished Apartment near Metro Baquedano,40730338,Jaime,,Santiago,-33.43675,-70.63691,Entire home/apt,39900,120,0,,,2,365,0,
10825936,Departamento amoblado Las Condes,54105730,Mario,,Las Condes,-33.42445,-70.57593,Entire home/apt,97490,1,0,,,1,365,0,
10831410,Departamento Un Dormitorio (E) - Las Condes,33365414,La Dehesa,,Las Condes,-33.41913,-70.59742,Entire home/apt,60429,1,11,2020-02-27,0.36,4,179,3,76417212-4
10834588,"Departamento, excelente ubicación",55978293,Juan,,Las Condes,-33.40789,-70.56564,Private room,16248,30,2,2016-05-24,0.03,1,358,0,
10862797,"Santiago Centro (Piso 19) Parking, Wi-Fi, Piscina",46676444,Apart Suites,,Santiago,-33.45035,-70.64805,Entire home/apt,73117,2,14,2017-04-12,0.20,12,0,0,
10873491,Habitación ejecutiva 416-1,38362946,Eduardo,,Santiago,-33.44722,-70.63559,Entire home/apt,31000,1,362,2020-02-17,5.24,5,358,59,
10885543,Sé nuestro roomie!,56404573,Magdalena,,Santiago,-33.43439,-70.6429,Entire home/apt,15000,1,0,,,1,298,0,
10903812,Metro Toesca Santiago Centro vistas a Santiago,31605180,Cristian,,Santiago,-33.45324,-70.65709,Entire home/apt,40000,3,3,2017-07-15,0.06,1,90,0,
10908649,Habitación privada en pleno centro,56536351,Jaime,,Santiago,-33.4507,-70.66926,Private room,14500,2,25,2017-10-05,0.37,1,298,0,
10910109,Depto a 1/2 cuadra metro sta lucia,36669609,Paula,,Santiago,-33.44248,-70.64375,Entire home/apt,33195,2,8,2019-11-12,0.12,12,364,0,
10910276,Preciosa habitacion con baño privad,51966337,Valeria,,Santiago,-33.44012,-70.65445,Private room,1218622,1,0,,,6,364,0,
10916001,Habitación Ejecutiva 416-2,38362946,Eduardo,,Santiago,-33.44734,-70.6357,Entire home/apt,31000,1,359,2020-02-24,5.19,5,333,60,
10917981,"Depto Bellas Artes, el mejor lugar",56589433,Jocelyn,,Santiago,-33.43499,-70.64484,Entire home/apt,35000,3,0,,,2,365,0,
10926678,Cozy room for two surrounded by nature,30754550,Andrea,,Vitacura,-33.38422,-70.57545,Private room,18000,7,7,2020-02-04,0.15,2,313,1,
10946651,Jesús de la Cruz,56765272,Jaime Jesús,,Santiago,-33.44714,-70.6584,Shared room,44683,1,1,2016-02-12,0.01,3,365,0,
10956419,Sunny apartment with superb views of the Andes,3314503,Roberto,,Ñuñoa,-33.45667,-70.61523,Entire home/apt,42000,14,39,2017-09-02,0.56,1,0,1,
10979686,"Arriendo Dpto. con 3 dormitorios, 2 baños, WiFi...",56966260,Gabriel,,Santiago,-33.44774,-70.65535,Entire home/apt,121862,2,34,2019-03-14,0.50,1,282,0,
10984258,Departamentos amoblados,56990685,Claudia,,Providencia,-33.42572,-70.61552,Entire home/apt,38996,1,215,2020-03-18,3.16,2,239,1,
10990109,Departamentos amoblados,56990685,Claudia,,Providencia,-33.42509,-70.61508,Entire home/apt,56869,1,0,,,2,239,0,
11017946,Cute modern flat with pool,39185761,Mariana & Dominic,,Recoleta,-33.43316,-70.64174,Entire home/apt,28857,2,155,2020-02-14,2.23,9,345,9,
11019093,Arriendo Departamento con Piscina,57177433,Alvaro,,Ñuñoa,-33.46548,-70.62454,Entire home/apt,58067,2,0,,,1,365,0,
11022587,Loft privado para turistas Ñuñoa,57197806,Du,,Ñuñoa,-33.44371,-70.57621,Private room,40621,5,0,,,1,365,0,
11038247,"Dpto Santiago, E. Militar, 2D+2B.",46397593,Rosselot,,Las Condes,-33.41527,-70.58484,Entire home/apt,73117,2,4,2016-03-17,0.06,5,90,0,
11048874,Hermosa habitación en Providencia,49563855,Josefa,,Providencia,-33.43534,-70.59798,Private room,12000,1,0,,,1,90,0,
11079157,Beautiful room in Vitacura,13936464,Carlos,,Vitacura,-33.37944,-70.54922,Entire home/apt,142173,1,1,2021-03-27,0.14,1,86,1,
11081431,Departamento 1 habitación Amoblado,57103330,John,,Santiago,-33.44645,-70.63271,Entire home/apt,28435,3,2,2017-04-04,0.03,1,268,0,
11083992,Great Apt in Santa Lucía Downtown,20246357,Polo,,Santiago,-33.44305,-70.64643,Entire home/apt,32497,3,1,2016-02-12,0.01,4,0,0,
11097161,35USD GOOD PLACE FOR SLEEP AND REST,57626845,Sebastián,,Santiago,-33.44309,-70.63367,Private room,28227,1,0,,,1,365,0,
11139896,jaime jesus de la cruz,56765272,Jaime Jesús,,Santiago,-33.44628,-70.65303,Entire home/apt,35746,5,0,,,3,90,0,
11147142,Exclusivo loft centro Santiago,57945643,Soledad,,Santiago,-33.44385,-70.64488,Entire home/apt,40000,1,141,2019-05-05,2.06,9,346,4,
11165195,DEPARTAMENTO PASEO AHUMADA D-312,34135853,Jacqueline,,Santiago,-33.44029,-70.65051,Entire home/apt,56869,5,1,2016-07-12,0.02,5,364,0,
11181066,Cama 1 plaza en habitación pequeña,58189193,Christian,,Ñuñoa,-33.45211,-70.61806,Private room,10000,1,0,,,1,359,0,
11182828,"Apartment in Bellavista, Chile",58204819,Felipe,,Recoleta,-33.43403,-70.63751,Entire home/apt,47120,1,0,,,1,365,0,
11183941,"Forestal Park, Pool & great views.",39185761,Mariana & Dominic,,Recoleta,-33.43336,-70.64167,Entire home/apt,26000,3,203,2019-12-31,2.94,9,353,30,
11188088,best Location ever.,58245103,Nicolas,,Providencia,-33.4478,-70.62945,Entire home/apt,80000,1,0,,,1,365,0,
11188238,Dormitorio cerca del Barrio Italia!,49581517,Allan,,Ñuñoa,-33.45782,-70.62437,Private room,17550,1,0,,,1,365,0,
11188463,Buena ubicacion,58244546,Jose Maria,,Las Condes,-33.40174,-70.57397,Private room,35000,1,0,,,1,365,0,
11188479,Habitación privada con baño,58245365,Rodrigo,,Las Condes,-33.42499,-70.58312,Private room,20162,1,2,2016-12-06,0.03,1,365,0,
11188624,Habitación Santiago centro,58246259,Alejandro,,Santiago,-33.45291,-70.66393,Private room,15000,1,0,,,1,89,0,
11188648,"Confortable room, private bathroom",58245752,Paulina,,Las Condes,-33.40726,-70.55938,Private room,10000,15,0,,,1,330,0,
11188711,Departamento en Concón,58244541,Homero,,Santiago,-33.4551,-70.63008,Private room,50000,2,0,,,1,365,0,
11188912,Depto centro stgo barrio lastarria,58246703,Jenny,,Santiago,-33.44771,-70.66826,Private room,55000,1,0,,,1,365,0,
11189139,Single room Santiago de Chile,58245708,Ibra,,Santiago,-33.46062,-70.64605,Private room,10714,1,308,2021-01-27,4.51,3,356,18,
11189193,Departamento Centro de Santiago,58246514,Diego,,Santiago,-33.45121,-70.65055,Shared room,11143,1,1,2016-02-29,0.01,1,365,0,
11189257,Exclusive Loft near lastarrias downtown Santiago,58247868,Patricio,,Santiago,-33.44358,-70.64461,Entire home/apt,44000,3,147,2020-09-10,2.18,3,341,9,
11189365,Habitacion full con baño y mucama,58246892,Eduardo,,Lo Barnechea,-33.32805,-70.52113,Private room,40325,1,0,,,1,365,0,
